宝贝标题,图片Url,详情页Url,价格,销量,位置,货号,品牌,厚薄,面料,年份季节,中老年风格,中老年女装图案,适用年龄,裙长,裙型,成分含量,服装款式细节
儿子结婚庆新娘妈妈婚宴连衣裙夏装婚礼中年旗袍喜庆婆婆宴会礼服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1LZpvKpXXXXboXFXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=533301702562&ns=1&abbucket=0#detail,119.00,7人付款,广东 广州,8213,,适中,蕾丝,2016年夏季,时尚,碎花,40-49周岁,中长款,包臀裙,81%(含)-90%(含),钉珠
特价2015夏装中老年半身裙黑色中长裙冰丝裙花边时尚妈妈装包邮,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/15389023166495254/T159eGXD8XXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=17541117096&ns=1&abbucket=0#detail,35.00,6人付款,江苏 苏州,,馨暖绒,,聚酯,"2014年春季,2014年秋季",通勤,花色,40-49周岁,中长款,,,
中老年女装半袖T恤上衣雪纺套装女夏两件套中年妈妈装40岁50裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1t0OIRXXXXXXCaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547687327259&ns=1&abbucket=0,98.00,9人付款,上海,501822A612 ,NAJIKS/南极吻 ,薄 ,其他 ,2017年夏季 ,时尚 ,其他 ,,短裙 ,,96%及以上 ,
中老年棉麻半身裙松紧腰夏装2017新款妈妈跳舞裙子中年女士中长裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB15f0FQFXXXXacaXXXXXXXXXXX_!!2-item_pic.png,https://item.taobao.com/item.htm?id=548257368157&ns=1&abbucket=0#detail,79.00,6人付款,浙江 杭州,6108,,薄,"棉麻,蚕丝,麻,其他",2017年夏季,高贵,纯色,40-49周岁,中裙,百褶裙,31%(含)-50%(含),口袋
妈妈装新款长袖T恤衬衫中年人半身裙上衣中老年女装春装连衣裙女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1J1RiPFXXXXatXVXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=545255913715&ns=1&abbucket=0#detail,29.00,6人付款,江苏 苏州,,,薄,,2017年春季,时尚,,40-49周岁,,,,
半身裙女中老年大码冰丝裙女士松紧腰中裙舞蹈裙妈妈装夏天花裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2747751104/TB2dFhRh.hnpuFjSZFpXXcpuXXa_!!2747751104.jpg,https://item.taobao.com/item.htm?id=546236823873&ns=1&abbucket=0#detail,19.00,6人付款,江苏 苏州,,,薄,,2017年夏季,休闲,花色,40-49周岁,中裙,,,
40岁妈妈装夏装连衣裙中年女装大码短袖裙子中老年母亲节衣服夏季,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB16mQ5QFXXXXc0XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549337087654&ns=1&abbucket=0,128.00,4人付款,北京,7270 ,H－SHARPREACH/亿利达 ,适中 ,聚酯 ,2017年夏季 ,时尚 ,圆点 ,,中长款 ,百褶裙 ,96%及以上 ,镂空 
2017夏季女装雪纺裙子半裙中长裙半身裙大码显瘦妈妈装时尚A字裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/78367344/TB2zoElnpXXXXboXpXXXXXXXXXX_!!78367344.jpg,https://item.taobao.com/item.htm?id=530485202293&ns=1&abbucket=0#detail,99.00,5人付款,上海,XOS62QZ7537雪纺裙,新欧裳,薄,雪纺,2011年夏季,休闲,纯色,40-49周岁,中裙,,31%(含)-50%(含),拉链
一品奴品牌中老年女装韩版加肥加大码妈妈装黑色气质半身裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/T1cUjfFNlcXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=16494907431&ns=1&abbucket=0,169.00,6人付款,广东 汕头,1362 ,一品奴 ,,LYCRA莱卡 ,2014年夏季 ,时尚 ,其他 ,40-49周岁 ,,,30%及以下 ,
中老年女装七分袖雪纺复古连衣裙妈妈装春夏装中长款长袖大码裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1.bmiPXXXXXXbaXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=544355557401&ns=1&abbucket=0#detail,116.00,6人付款,浙江 嘉兴,,,薄,"雪纺,其他","2016年夏季,2017年春季",民族风,复古图案,40-49周岁,中长款,其他,91%(含)-95%(含),纽扣
中老年裙子夏短裙中年妇女夏装40-50岁中年人女夏季妈妈装半身裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1Gc2OQXXXXXbAapXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547252730990&ns=1&abbucket=0#detail,25.00,7人付款,上海,,,,雪纺,2017年夏季,知性,,,,,,
2017新款真丝半身裙夏季女式中长裙显瘦大摆裙 桑蚕丝印花裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1gtlvMXXXXXcnXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=528579167796&ns=1&abbucket=0#detail,125.00,5人付款,浙江 杭州,,金霸丝王,适中,蚕丝,2017年春季,通勤,花色,60周岁以上,中长款,其他,96%及以上,
中老年女装夏装短裙妈妈装松紧中高腰半身裙中年妇女大码跳舞裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1685300499/TB2URKzmpXXXXaEXpXXXXXXXXXX_!!1685300499.jpg,https://item.taobao.com/item.htm?id=529323284956&ns=1&abbucket=0#detail,25.00,5人付款,浙江 杭州,,other/其他,薄,,"2016年夏季,2016年春季",休闲,,,中裙,百褶裙,96%及以上,
中老年女装夏装半身裙妈妈装夏装高腰花色裙子中年女装打底裙短裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1vZswQpXXXXXPXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548247926008&ns=1&abbucket=0,56.00,13人付款,江苏 苏州,LSN-DBQ001 ,恋诗妮 ,适中 ,其他 ,2017年春季 ,知性 ,其他 ,40-49周岁 ,短裙 ,不规则裙 ,96%及以上 ,
中老年人女装夏装新款半袖印花妈妈装连衣裙大码中长款雪纺裙子薄,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1HgCfRXXXXXXbXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548353956389&ns=1&abbucket=0,98.00,4人付款,江苏 苏州,MS-YQ1812 ,妙素 ,薄 ,其他 ,2017年夏季 ,时尚 ,花鸟图案 ,,中长款 ,,96%及以上 ,纽扣 
新款中老年半身裙夏装女装大码跳舞长裙妈妈装松紧腰冰丝太阳裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/912461432/TB20cKOcpXXXXaBXpXXXXXXXXXX_!!912461432.jpg,https://item.taobao.com/item.htm?id=44763475849&ns=1&abbucket=0#detail,33.00,7人付款,江苏 苏州,,馨暖绒,,聚酯,"2014年夏季,2014年春季,2014年秋季",通勤,花色,40-49周岁,中长款,百褶裙,,
夏季中老年女裤妈妈装裙裤松紧腰中年棉麻阔腿裤大码广场舞半身裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2187652757/TB2b2XjlrXlpuFjy1zbXXb_qpXa_!!2187652757.jpg,https://item.taobao.com/item.htm?id=548463725197&ns=1&abbucket=0#detail,38.00,7人付款,北京,,,薄,"聚酯,其他",2017年夏季,时尚,其他,50-59周岁,,,,
福玛玛中老年女装夏装半身裙40-50岁妈妈装松紧腰大码半身裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB15O8DQVXXXXaaXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549051614836&ns=1&abbucket=0,278.00,4人付款,浙江 杭州,T7217T0772 ,福玛玛 ,,聚酯 ,2017年夏季 ,时尚 ,,40-49周岁 ,长裙 ,,96%及以上 ,
中老年人女装夏装新款半袖印花妈妈装连衣裙大码中长款雪纺裙子薄,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1vNTAQFXXXXa0XpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548996903091&ns=1&abbucket=0,118.00,4人付款,浙江 嘉兴,YCR-718-12 ,忆纯绒 ,薄 ,其他 ,2017年夏季 ,知性 ,花色 ,40-49周岁 ,,不规则裙 ,96%及以上 ,钉珠 
艾雀妈妈夏装短袖中国风裙子中老年女装2017新款时尚中长款连衣裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1giVxRXXXXXXYXpXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=550240212655&ns=1&abbucket=0,158.00,4人付款,江苏 苏州,MQ2316 ,艾雀 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花色 ,40-49周岁 ,中长款 ,,96%及以上 ,纽扣 
中老年女装妈妈装纯桑蚕丝真丝半身裙时尚中长款大裙摆夏装百搭,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/104615452/TB2G_d5lmBjpuFjSsplXXa5MVXa_!!104615452.jpg,https://item.taobao.com/item.htm?id=548391682515&ns=1&abbucket=0#detail,118.00,9人付款,上海,,,薄,蚕丝,2017年夏季,通勤,花色,,中长款,百褶裙,96%及以上,褶皱
中年女装夏装套装短袖棉麻t恤妈妈装半身裙中老年广场舞大摆裙子,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1bm8cPVXXXXarXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=545966354089&ns=1&abbucket=0#detail,108.00,4人付款,北京,WY1514,,薄,"亚麻,棉",2017年夏季,时尚,花色,40-49周岁,中长款,百褶裙,51%(含)-70%(含),口袋
中老年女装新品春夏半身裙妈妈装百褶小碎花裙中年高腰中裙跳舞裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/186931925/TB2QUHzrypnpuFjSZFIXXXh2VXa_!!186931925.jpg,https://item.taobao.com/item.htm?id=547614084471&ns=1&abbucket=0#detail,66.00,7人付款,江苏 苏州,,,,其他,"2017年春季,2017年夏季",时尚,花色,40-49周岁,中裙,,,
夏季中老年跳舞冰丝裙 中年人妈妈半身裙广场舞裙花色太阳裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB14OknJpXXXXauXVXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=530717558354&ns=1&abbucket=0#detail,14.90,2人付款,江苏 苏州,,,薄,,2016年夏季,时尚,,,中裙,,,
中老年短袖连衣裙40-50岁大码带领子超长款年轻妈妈雪纺半袖裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1a_O0QFXXXXX0XFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548820166239&ns=1&abbucket=0,158.00,4人付款,浙江 嘉兴,MJS3779`` ,木伽沙 ,薄 ,其他 ,2017年夏季 ,知性 ,纯色 ,,中长款 ,其他 ,96%及以上 ,
中老年女装夏装网纱半身裙妈妈装刺绣短裙中年大码广场舞裙子显瘦,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/671835389/TB2VSi7nKJ8puFjy1XbXXagqVXa_!!671835389.jpg,https://item.taobao.com/item.htm?id=549774736340&ns=1&abbucket=0#detail,78.00,3人付款,江苏 苏州,,馨暖绒,,其他,2017年夏季,民族风,花色,40-49周岁,中裙,百褶裙,,绣花
妈妈装连衣裙夏装40-50岁中长款裙子中老年女装雪纺半袖婚礼装夏,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1J781RXXXXXcYXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548361448124&ns=1&abbucket=0,149.00,8人付款,浙江 嘉兴,SSY88180 ,V－FOR ,适中 ,其他 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,中长款 ,,96%及以上 ,
夏季雪纺半身裙中年女裙修身显瘦百褶裙妈妈装A字裙时尚中短裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1l0TCQpXXXXcxXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=548003650566&ns=1&abbucket=0#detail,55.00,4人付款,上海,,,薄,雪纺,2017年春季,通勤,纯色,40-49周岁,中裙,,,
中老年人女装春夏装裙子40-50岁妈妈装宽松半身裙子奶奶装衣服60,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1DR1ePXXXXXXnXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=544272372285&ns=1&abbucket=0,98.00,4人付款,浙江 嘉兴,JFMM-7119 ,韶妃 ,适中 ,其他 ,2017年春季 ,时尚 ,纯色 ,40-49周岁 ,中长款 ,,96%及以上 ,
中老年女装春装新款半身裙子 40-50岁妈妈装夏装七分袖雪纺连衣裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2056393606/TB2jqPTjd4opuFjSZFLXXX8mXXa_!!2056393606.jpg,https://item.taobao.com/item.htm?id=546764329737&ns=1&abbucket=0#detail,58.00,3人付款,江苏 苏州,,,薄,雪纺,"2017年春季,2017年夏季",时尚,,40-49周岁,中长款,,,
中年妈妈装春时尚过膝蕾丝裙子40岁50女装宽松中腰半身裙夏季裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1Tr31QpXXXXb_XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548156792847&ns=1&abbucket=0,69.00,7人付款,浙江 嘉兴,1508TZ ,夕早 ,薄 ,其他 ,2017年夏季 ,时尚 ,纯色 ,40-49周岁 ,中裙 ,,96%及以上 ,镂空 
中老年女装夏装半袖印花V领雪纺裙子中年妈妈装T恤新款时尚连衣裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1EAFlQFXXXXXaXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548261136906&ns=1&abbucket=0,138.00,4人付款,浙江 嘉兴,P-D-MN7109 ,典雅浅秋 ,薄 ,聚酯 ,2017年春季 ,时尚 ,碎花 ,40-49周岁 ,,,96%及以上 ,纱网 
彩虹妈妈中老年女装中裙妈妈装夏季新款半身裙 中老年薄款百褶裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1bNHuPFXXXXa5aXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=545686749103&ns=1&abbucket=0,108.00,3人付款,上海,FD5835 ,彩虹妈妈 ,适中 ,其他 ,2017年春季 ,民族风 ,纯色 ,50-59周岁 ,中裙 ,,96%及以上 ,绣花 
2017新款中年妇女装夏季中长款连衣裙中老年妈妈装民国风旗袍裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1_ICyRXXXXXcpXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547494356640&ns=1&abbucket=0,148.00,4人付款,浙江 嘉兴,WY-7713-95 ,追梦公主 ,薄 ,其他 ,2017年夏季 ,高贵 ,花色 ,40-49周岁 ,中长款 ,包臀裙 ,96%及以上 ,纽扣 
新款中老年夏装半身裙40岁妈妈装夏季中年女装短裙百褶裙40-50夏,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1tQzwQpXXXXcPXVXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=521437844786&ns=1&abbucket=0,99.00,3人付款,上海,XR52256 ,夕茹 ,薄 ,其他 ,2015年夏季 ,时尚 ,其他 ,40-49周岁 ,中长款 ,百褶裙 ,96%及以上 ,
中年妇女夏短袖假两件连衣裙中老年妈妈夏季半袖大码显瘦雪纺裙子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/TB1srA1QFXXXXbEXXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=549192293705&ns=1&abbucket=0,108.00,3人付款,浙江 嘉兴,MJS5075`` ,木伽沙 ,超薄 ,,2017年夏季 ,知性 ,花鸟图案 ,,中长款 ,其他 ,,
中老年女装半身裙夏装大码妈妈奶奶装松紧腰中长款广场舞裙子花色,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB19uJPQpXXXXaMaXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=37947029443&ns=1&abbucket=0#detail,38.00,10人付款,北京,222,,适中,"雪纺,LYCRA莱卡","2017年春季,2017年夏季",休闲,花色,50-59周岁,中长款,,96%及以上,腰带
2件包邮 中老年女半身裙夏装冰丝裙妈妈装短裙碎花裙女牛奶丝裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/63777043/TB2uwFLlpXXXXacXpXXXXXXXXXX_!!63777043.jpg,https://item.taobao.com/item.htm?id=527978349855&ns=1&abbucket=0#detail,19.99,4人付款,上海,大花裙,芊虞鸟,薄,聚酯,2017年夏季,休闲,花色,40-49周岁,中裙,百褶裙,51%(含)-70%(含),褶皱
夏季中老年女装冰丝短裙子 大码妈妈款印花太阳裙加大半身裙批发,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB10XzyIpXXXXclXXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=528199114255&ns=1&abbucket=0#detail,8.00,7人付款,浙江 金华,冰丝半身裙,,薄,其他,2017年春季,时尚,花鸟图案,40-49周岁,中裙,,,
2017新款中老年女装长袖半身裙中长款中年40-50岁妈妈装春装打底,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1lqe4QFXXXXXiaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546407018799&ns=1&abbucket=0,128.00,8人付款,江苏 苏州,MNFS7015Q ,索姗娜 ,,聚酯 ,2017年春季 ,时尚 ,其他 ,40-49周岁 ,,其他 ,96%及以上 ,
妈妈装夏装连衣裙中长款大码中老年女装半袖雪纺长裙子40-50岁薄,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1gV5SQpXXXXa3XXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=547767410230&ns=1&abbucket=0,168.00,0人付款,浙江 嘉兴,QML-Y3716 ,秋米罗 ,薄 ,聚酯 ,2017年夏季 ,时尚 ,花鸟图案 ,40-49周岁 ,中长款 ,,96%及以上 ,纽扣 
妈妈短袖t恤女夏30-40-50岁韩版半身裙子中老年女人宽松上衣套装,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2574048691/TB2zVtMmYFlpuFjy0FgXXbRBVXa_!!2574048691.jpg,https://item.taobao.com/item.htm?id=549424943394&ns=1&abbucket=0#detail,97.00,4人付款,江苏 苏州,lmyz02,语柳,薄,雪纺,2017年夏季,时尚,纯色,40-49周岁,,,,
妈妈装夏装半身裙40-50岁中年人广场舞裙子中老年松紧腰冰丝裙女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1952998710/TB2CMg4im0mpuFjSZPiXXbssVXa_!!1952998710.jpg,https://item.taobao.com/item.htm?id=546400050331&ns=1&abbucket=0#detail,25.00,10人付款,上海,,,薄,"LYCRA莱卡,其他",2017年夏季,时尚,花色,40-49周岁,中裙,,91%(含)-95%(含),
大码雪纺衫女装打底5分中袖中年30-40岁妈妈装夏装上衣服半截袖女,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB19_4oQVXXXXa7aXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=545426210344&ns=1&abbucket=0#detail,49.00,5人付款,江苏 苏州,MJ-666,家有一老,薄,雪纺,2017年夏季,时尚,花鸟图案,50-59周岁,中长款,铅笔裙,51%(含)-70%(含),
中老年女装夏装半身裙子女士中年妈妈装夏季冰丝短裙中裙半裙女裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1662651557/TB2Z0EqjuJ8puFjy1XbXXagqVXa_!!1662651557.jpg,https://item.taobao.com/item.htm?id=547630931360&ns=1&abbucket=0#detail,12.00,1人付款,江苏 苏州,6678,,,其他,2017年夏季,时尚,,,,,,
曼岚中老年女装半身裙春秋一步裙中年包裙百搭中裙妈妈西装裙女裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/TB1aMkVMVXXXXbWXFXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=537794869739&ns=1&abbucket=0,128.00,8人付款,北京,ML16D96168 ,曼岚 ,适中 ,其他 ,2016年秋季 ,时尚 ,纯色 ,40-49周岁 ,中裙 ,包臀裙 ,96%及以上 ,
中年裙子气质妈妈装夏装套装40 50岁时尚T恤+半身裙女装2017新款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1810544480/TB23n8PnylnpuFjSZFgXXbi7FXa_!!1810544480.jpg,https://item.taobao.com/item.htm?id=548347964306&ns=1&abbucket=0#detail,52.00,7人付款,江苏 苏州,,,适中,"棉,麻",2017年夏季,休闲,纯色,40-49周岁,中长款,其他,,
2017女士裙子短裙中年妇女夏装40-50岁中年人女夏季妈妈装半身裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1qNWyQVXXXXXiXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=549475932598&ns=1&abbucket=0#detail,25.00,4人付款,上海,,,,,2017年夏季,知性,,,,,,
中老年女装夏装真丝连衣裙妈妈装桑蚕丝薄款裙子大码七分袖半身裙,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1DpYvRXXXXXarXpXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=547515408574&ns=1&abbucket=0#detail,128.00,6人付款,浙江 嘉兴,ZH-181009,,薄,"蚕丝,其他",2017年夏季,时尚,花色,40-49周岁,中长款,其他,51%(含)-70%(含),镂空
2017新款中老年半身裙女中长款夏季跳舞裙子妈妈装大码纱裙百褶裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/592809363/TB2e6JdkS0mpuFjSZPiXXbssVXa_!!592809363.jpg,https://item.taobao.com/item.htm?id=529433028816&ns=1&abbucket=0#detail,89.00,3人付款,浙江 杭州,7911,,薄,"雪纺,棉",2016年夏季,时尚,花色,40-49周岁,长裙,百褶裙,31%(含)-50%(含),纱网
中老年女装春装长袖连衣裙中年妇女妈妈装春秋中长款打底衫半身裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2230940683/TB2W.x1avTz11Bjy1XcXXapnpXa_!!2230940683.jpg,https://item.taobao.com/item.htm?id=544476649109&ns=1&abbucket=0#detail,45.00,2人付款,江苏 苏州,,,适中,"棉,其他",2017年春季,时尚,纯色,40-49周岁,中裙,,91%(含)-95%(含),
妈妈夏装连衣裙半袖中年女装大码裙中长款中老年裙子30雪纺40岁50,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/211111880/TB2A9NAkutTMeFjSZFOXXaTiVXa_!!211111880.jpg,https://item.taobao.com/item.htm?id=549593227356&ns=1&abbucket=0#detail,98.00,4人付款,上海,,,,,"2017年春季,2017年夏季",知性,,40-49周岁,中长款,,,
中老年半身裙子中长款大码女装中年妈妈短裙半裙春秋冬A型百褶裙,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB1vWP7NpXXXXa4XXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=539209824725&ns=1&abbucket=0#detail,86.00,8人付款,江苏 苏州,8028,明达,适中,聚酯,2016年秋季,朴实,纯色,40-49周岁,中长款,百褶裙,71%(含)-80%(含),
夏季半身裙 地摊赶集中老年女士妈妈装广场舞冰丝中裙太阳裙批发,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1k36RMpXXXXaXXFXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=546543102386&ns=1&abbucket=0#detail,8.20,3人付款,浙江 金华,,,薄,其他,2017年夏季,休闲,花色,,中长款,百褶裙,,
中年妇女人夏季棉麻短袖T恤半截群半身裙子40-50岁妈妈装一套衣服,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/352819917/TB2LGGDpJ4opuFjSZFLXXX8mXXa_!!352819917.jpg,https://item.taobao.com/item.htm?id=550280935250&ns=1&abbucket=0#detail,88.00,5人付款,上海,XOS50JM465棉麻裙套装,新欧裳,适中,"聚酯,棉麻",2017年夏季,休闲,其他,40-49周岁,中裙,,31%(含)-50%(含),褶皱
仙嘉柏丽夏装中年妈妈装真丝套装连衣裙女两件套桑蚕丝T恤半身裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1TZkkQVXXXXccaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=550175047236&ns=1&abbucket=0,618.00,2人付款,北京,C2125 ,Senjepolee/仙嘉柏丽 ,薄 ,蚕丝 ,2017年夏季 ,通勤 ,其他 ,40-49周岁 ,长裙 ,,91%(含)-95%(含) ,纽扣 
夏季印花蕾丝半身裙中年妈妈装碎花A字裙中老年女裙中长款短裙子,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1EPBzMXXXXXXwXXXXYXGcGpXX_M2.SS2,https://item.taobao.com/item.htm?id=528649529598&ns=1&abbucket=0#detail,45.00,6人付款,北京,,,薄,"雪纺,蕾丝,蚕丝","2016年夏季,2016年春季",时尚,碎花,40-49周岁,短裙,,,
夏装妈妈装圆领中袖t恤雪纺衫 中老年女装衬衫中长上衣半身裙大码,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2468123403/TB2GE23k4RDOuFjSZFzXXcIipXa_!!2468123403.jpg,https://item.taobao.com/item.htm?id=550118200494&ns=1&abbucket=0#detail,39.00,2人付款,江苏 苏州,,,薄,"雪纺,其他",2017年夏季,时尚,花色,40-49周岁,,,,
中老年女装夏连衣裙印花40-50妈妈半袖裙子中长款短袖大码薄复古,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1sv84RXXXXXa4apXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=548581003098&ns=1&abbucket=0,99.00,5人付款,北京,Z17D8025 ,佐蝶 ,薄 ,聚酯 ,2017年夏季 ,民族风 ,复古图案 ,50-59周岁 ,中长款 ,包臀裙 ,81%(含)-90%(含) ,纽扣 
老人裙子奶奶装夏季老年女装短裙老太太松紧腰夏天中老年半身裙夏,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1qGR0QXXXXXa2aXXXXXXXXXXX_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id=546880873817&ns=1&abbucket=0#detail,18.90,6人付款,河南 焦作,,,薄,纯棉,"2017年夏季,2017年春季,2016年夏季",民族风,,,中长款,,,
甘夫人中老年女装2017春装新款半身裙妈妈装大码羊毛呢中裙一步裙,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB154W7KpXXXXcKaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=525311717924&ns=1&abbucket=0,178.00,3人付款,北京,M-2602 ,甘夫人 ,厚 ,聚酯 ,2015年冬季 ,通勤 ,格子 ,40-49周岁 ,中长款 ,,91%(含)-95%(含) ,
中老年女装连衣裙妈妈装春装中长款裙子中年妇女长袖裙装40-50岁,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/TB1fa2tPVXXXXXlaXXXXXXXXXXX_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id=546334705607&ns=1&abbucket=0,89.00,4人付款,上海,8621 ,夕之美 ,薄 ,其他 ,2017年春季 ,民族风 ,动物图案 ,40-49周岁 ,,,96%及以上 ,纽扣 
